[2020-02-07 15:21:29,870][Thread-20:10516][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/467518253.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,871][Thread-15:18084][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:29,873][Thread-22:16704][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/467276386.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,875][Thread-19:8396][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/467520742.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,875][Thread-21:11340][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/467353141.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,876][Thread-23:5156][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/466966912.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,878][Thread-17:17152][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:29,879][Thread-25:18096][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/466866136.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,882][Thread-16:17764][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:29,885][Thread-24:10664][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/466965799.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,885][Thread-18:564][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:29,895][Thread-20:10516][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:29,899][Thread-22:16704][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:29,909][Thread-19:8396][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:29,910][Thread-21:11340][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:29,912][Thread-23:5156][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:29,919][Thread-25:18096][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:29,920][Thread-24:10664][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:30,722][Thread-1:16596][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][https://www.biqukan.com:443 "GET /65_65593/468919507.html HTTP/1.1" 200 None]
[2020-02-07 15:21:30,738][Thread-2:13088][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][https://www.biqukan.com:443 "GET /65_65593/468857533.html HTTP/1.1" 200 None]
